"","country","year","cpi","dyn_gdp","dyn_gdp_china","dyn_GDP_US","interest_rate_US","oil_yoy","dyn_consum","dyn_fx_rate","diff_priv_credit_gdp","net_lending","public_debt","interest_on_debt","overvaluation","ca_balance","dyn_fix_cap_form","dyn_export_share","diff_unempl","dyn_prod_dol","VIX","GDP_per_cap","developed","crisis_next_year","crisis_next_period","crisis_first_year"
"Finland.Finland.578","Finland",2008,4.06595165679517,0.720668487409926,9.65428937259927,-0.291621458693958,3.666667,29.3839592554058,-1.46563660507473,-6.81941800380745,3.8523771574133,4.181,32.654,-1.62307833649783,32.372,2.246,4.74912976963839,0.0194682273461755,-0.525,-0.778945338860504,39.580002,42.5746411365042,1,0,"0",0
"Finland.Finland.579","Finland",2009,0.000615289955425626,-8.26903655827106,9.39981317141534,-2.77552957416808,3.256667,-36.3623035005381,4.02744938031829,5.44880986521366,6.31577377113,-2.528,41.696,-0.884976976208749,26.9268,1.914,-12.8225209016827,-11.496023125049,1.9,-5.32539204446085,21.68,38.8677994464569,1,0,"0",0
"Finland.Finland.580","Finland",2010,1.21035762483128,2.99233750220187,10.6361404632298,2.53192061616314,3.214167,26.8218358395412,0.909391958417172,5.21234065022251,1.9763590945601,-2.61,47.119,0.135826312103398,19.57814,1.243,-0.616699443999325,-11.8508369853424,0.175000000000001,3.56626060898391,17.940001,39.8481344978775,1,0,"0",0
"Finland.Finland.581","Finland",2011,3.41680903370978,2.57081774452164,9.53644300805552,1.60145467247139,2.785833,35.6695625492335,-1.56966100524365,-4.76293103448274,1.2696547481285,-1.044,48.504,0.0494804552201881,26.2544,-1.779,6.95282534874062,-5.81252484747349,-0.725,1.43089301993737,22.950001,40.6835275821703,1,0,"0",0
"Finland.Finland.582","Finland",2012,2.80833232604085,-1.42618935959564,7.85626211026953,2.22403085385714,1.8025,-1.66282860640151,-1.38027935325827,8.3437110834371,2.45382967556701,-2.183,53.91,0.408087553329623,17.81616,-1.934,1.89817035564996,-6.85016700207788,-0.0920000000000005,-1.75166080500195,15.24,39.9129413580065,1,0,"0",0
"Finland.Finland.583","Finland",2013,1.47828813293557,-0.758036294820086,7.75763514617025,1.67733152992453,2.350833,-4.1011967742475,-2.17508020119827,-3.2602966644078,1.0413041413117,-2.614,56.458,0.148783166247476,22.84925,-1.602,-3.42299932750504,0.559624369337097,0.509,0.33112253522527,14.32,39.4283120606313,1,0,"0",0
"Finland.Finland.584","Finland",2014,1.04120000617985,-0.631728090593853,7.29766595938155,2.37045767146387,2.540833,-10.3921701006973,-0.624851885620692,-0.030109145652979,0.209380375791099,-3.161,60.2,0.352159468438539,22.7534,-1.259,-1.96829375855906,-5.02971413235422,0.465999999999999,-0.258671952428147,17.76,39.0175372069548,1,0,"0",0
"Finland.Finland.585","Finland",2015,-0.2071643707866,-0.00857665113935813,6.90020481672435,2.86158702527266,2.135833,-47.11797687908,-2.17891134580176,19.7386210004506,1.85437196482719,-2.734,63.642,0.323685616416832,3.51635,-0.594,1.13176275600806,-6.21868730366617,0.717000000000001,0.749212531921017,22.48,38.8858957588024,1,0,"0",0
"Finland.Finland.586","Finland",2016,0.355438437909725,1.92723159480426,6.6893498942918,1.48527919319121,1.841667,-18.0342441910925,-0.55955318431905,0.234890233986818,-0.629272376785295,-1.901,63.101,0.42630069254053,2.9417,-1.062,8.6858801769953,1.38592215374467,-0.583,0.960618583136896,14.07,39.5230489783247,1,0,"0",0
"France.France.611","France",1992,2.3657650383532,1.59967121382167,14.2161635832521,3.55539614766758,7.01,-6.23476076426503,-1.80679370054939,-6.17322990485261,0.376319004659607,-4.555,40.014,5.90043484780327,-82.2056522240809,0.272,-1.3076983876067,-2.02865908004254,0.824999999999999,2.08266973758362,12.96,30.1377581222541,1,0,"0",0
